app,time
python,20:10:45
Safari,20:11:21
Terminal,20:11:22
Safari,20:11:25
Finder,20:11:32
zoom.us,20:12:12
loginwindow,20:15:33
zoom.us,21:12:17
Safari,21:12:40
loginwindow,21:33:36
Safari,21:38:55
loginwindow,21:48:44
Safari,21:52:48
Messages,22:09:28
Safari,22:09:59
Messages,22:10:31
Safari,22:10:38
Finder,22:42:39
loginwindow,22:51:12
Finder,22:58:43
loginwindow,23:01:59
Finder,23:09:41
loginwindow,23:36:18
Finder,13:59:37
Safari,14:00:40
loginwindow,14:04:54
Safari,14:14:34
loginwindow,15:14:27
Safari,15:15:20
loginwindow,15:28:26
Safari,15:30:34
Terminal,16:13:46
Safari,16:13:48
Terminal,16:13:54
Safari,16:13:59
Terminal,16:14:08
Safari,16:14:21
Terminal,16:14:22
Safari,16:14:39
Terminal,16:14:46
