app,time
Terminal,19:11:59
Finder,19:12:26
Terminal,19:16:47
FaceTime,19:23:36
Finder,19:23:38
Mail,19:24:25
Preview,19:25:34
Mail,19:25:58
Preview,19:26:01
Mail,19:26:12
Finder,19:34:13
Preview,19:34:48
Mail,19:35:47
Finder,19:35:53
Mail,19:35:55
Finder,19:36:06
Mail,19:36:08
Finder,19:36:13
Mail,19:36:14
Safari,19:36:21
Mail,19:37:46
Safari,19:39:50
Mail,19:40:31
Safari,19:40:40
Mail,19:41:37
Safari,19:42:00
Mail,19:42:44
Safari,19:47:11
Mail,19:51:57
Safari,19:52:25
Mail,19:52:32
Safari,19:53:25
Mail,19:53:39
Safari,19:56:41
Mail,20:06:16
Finder,20:07:42
Safari,20:07:44
Mail,20:26:09
Safari,20:30:18
Mail,20:31:19
Finder,20:32:11
Safari,20:32:12
Finder,20:32:16
loginwindow,20:32:22
Finder,21:56:03
Terminal,21:56:06
Safari,21:57:50
Finder,21:57:57
Terminal,21:58:06
Safari,21:59:16
Finder,22:00:01
Safari,22:00:03
Terminal,22:02:31
Safari,22:05:06
Finder,22:28:16
Mail,22:28:19
Finder,22:28:32
Safari,22:28:34
Finder,22:28:54
loginwindow,22:29:45
Finder,09:39:10
Mail,09:39:12
Finder,09:41:41
Safari,09:41:43
Finder,09:42:02
loginwindow,09:42:06
Finder,10:09:19
Mail,10:09:21
Safari,10:12:32
loginwindow,10:20:31
Safari,11:08:05
Mail,11:08:17
Safari,11:17:52
loginwindow,11:20:19
Safari,11:20:34
Mail,11:33:12
Safari,11:39:47
Mail,11:41:25
Safari,11:46:14
Mail,11:53:49
Finder,12:08:41
Safari,12:08:43
Finder,12:08:47
loginwindow,12:08:54
Finder,12:10:30
loginwindow,12:12:50
Finder,13:12:05
Mail,13:12:08
Finder,13:16:39
Safari,13:16:43
Finder,13:18:01
loginwindow,13:18:07
Finder,13:33:00
Safari,13:33:02
Finder,13:33:56
loginwindow,13:34:00
Finder,13:53:44
Safari,13:53:46
Finder,13:55:43
Mail,13:55:44
Finder,13:57:07
Messages,13:57:52
Preview,13:58:51
Finder,13:59:00
Messages,13:59:01
Finder,13:59:04
loginwindow,13:59:39
Finder,13:59:48
Safari,13:59:52
Finder,14:14:17
Messages,14:14:19
Finder,14:14:40
System Preferences,14:14:44
Finder,14:14:59
App Store,14:15:01
Finder,14:15:10
loginwindow,14:15:19
Finder,14:15:49
Safari,14:15:51
Mail,14:21:41
Safari,14:22:36
Mail,14:22:52
Safari,14:23:14
Mail,14:23:23
Safari,14:24:11
Finder,14:28:34
loginwindow,14:28:41
Finder,16:37:41
Mail,16:37:43
Messages,16:38:03
Finder,16:38:52
Mail,16:38:55
Safari,16:39:11
Mail,16:43:46
iMovie,16:46:48
Mail,16:47:02
Finder,16:47:06
loginwindow,16:47:10
Finder,16:52:22
Safari,16:52:24
Preview,16:55:12
Safari,16:55:30
Finder,16:55:36
loginwindow,16:55:41
Finder,17:18:55
Mail,17:18:59
Finder,17:20:42
Preview,17:20:49
Finder,17:21:05
Preview,17:21:22
Finder,17:21:29
Safari,17:21:57
Mail,17:23:15
Finder,17:24:34
Safari,17:24:36
Finder,17:35:54
Mail,17:35:56
Safari,17:36:09
Mail,17:36:22
Finder,17:37:01
loginwindow,17:37:06
Finder,19:46:15
Safari,19:46:17
Finder,19:46:19
Terminal,19:46:22
loginwindow,19:47:29
Terminal,20:03:52
Safari,20:03:57
Python,20:08:07
Finder,20:08:09
Terminal,20:08:11
Safari,20:08:29
Finder,20:27:39
loginwindow,20:28:54
Finder,20:31:37
Safari,20:31:39
loginwindow,20:36:20
Safari,20:44:00
Finder,20:53:42
loginwindow,20:53:47
Finder,21:12:01
Terminal,21:12:07
