app,time
Terminal,12:16:00
Firefox,12:16:07
zoom.us,12:16:11
Installer,12:16:26
SecurityAgent,12:16:30
Installer,12:16:33
Firefox,12:16:41
zoom.us,12:16:42
Firefox,12:16:50
Finder,12:16:54
Firefox,12:17:02
Terminal,12:17:03
Firefox,12:17:06
Finder,12:17:13
Firefox,12:17:17
Adobe Flash Player Install Manager,12:40:11
Firefox,12:44:47
Messages,12:47:59
Firefox,12:48:11
Messages,12:48:26
Firefox,12:48:28
Python,13:06:42
Firefox,13:06:45
Spotify,13:09:56
Firefox,13:10:16
Messages,13:12:42
Firefox,13:13:09
Messages,13:17:01
Firefox,13:17:15
Messages,13:22:23
Firefox,13:22:34
Messages,13:22:49
Firefox,13:23:55
zoom.us,13:24:40
Spotify,13:24:41
zoom.us,13:24:42
Messages,13:24:43
zoom.us,13:24:44
Messages,13:24:45
zoom.us,13:24:47
Messages,13:24:51
zoom.us,13:24:54
Messages,13:24:59
zoom.us,13:25:08
Messages,13:25:12
zoom.us,13:25:13
Firefox,13:25:18
Finder,13:25:49
Firefox,13:25:53
zoom.us,13:25:54
Messages,13:25:55
zoom.us,13:26:01
Firefox,13:26:03
zoom.us,13:26:08
Firefox,13:27:37
zoom.us,13:30:28
Firefox,13:31:36
zoom.us,13:31:38
Firefox,13:33:01
zoom.us,13:33:39
Firefox,13:35:22
zoom.us,13:35:30
Firefox,13:35:34
Preview,13:35:38
Firefox,13:35:45
zoom.us,13:35:46
Firefox,13:35:48
zoom.us,13:35:52
Firefox,13:35:56
Adobe Flash Player Install Manager,13:40:12
Firefox,13:40:14
zoom.us,13:46:46
Preview,13:47:06
Firefox,13:47:07
zoom.us,13:47:10
Firefox,13:47:28
zoom.us,13:47:32
Firefox,13:48:38
zoom.us,13:48:42
Firefox,13:49:57
zoom.us,13:50:03
Firefox,13:52:21
zoom.us,14:01:15
Firefox,14:01:32
zoom.us,14:10:08
Firefox,14:10:09
zoom.us,14:10:47
Firefox,14:11:07
zoom.us,14:11:09
Firefox,14:11:51
zoom.us,14:11:55
Firefox,14:11:59
zoom.us,14:13:18
Terminal,14:13:38
zoom.us,14:13:40
Firefox,14:24:57
zoom.us,14:34:07
Firefox,14:35:30
zoom.us,14:35:33
Firefox,14:38:06
zoom.us,14:39:02
Firefox,14:39:04
